,id,title,text,entity,negative,key_entity,our_negative,our_key_entity
177,359,,????7月11日，深圳市公安局福田分局以涉嫌非法吸收公众存款对深圳市钱爸爸电子商务有限公司立案侦查,深圳市钱爸爸电子商务有限公司;钱爸爸,1,深圳市钱爸爸电子商务有限公司,1,深圳市钱爸爸电子商务有限公司;钱爸爸
179,361,#恒丰银行与小资钱包1[超话]##头号直通中纪委[超话]##小资钱包涉嫌诈骗[超话]#剖析：诈骗4.4亿是小资高管骗术高明还是金融办监管不力亦或海淀经侦没有管控？  1、 小资钱包高管骗术高明？        平台上线仪式在钓鱼台国宾馆隆重举行，邀请了经济学家国务院参事任玉岭、国务院国资委监事会主席解思忠、...全文：  ?,#恒丰银行与小资钱包1[超话]##头号直通中纪委[超话]##小资钱包涉嫌诈骗[超话]#剖析：诈骗4.4亿是小资高管骗术高明还是金融办监管不力亦或海淀经侦没有管控？  1、 小资钱包高管骗术高明？        平台上线仪式在钓鱼台国宾馆隆重举行，邀请了经济学家国务院参事任玉岭、国务院国资委监事会主席解思忠、...全文： http://m.weibo.cn/7091173122/4396259852515310 ?,小资钱包;恒丰银行,1,小资钱包,1,恒丰银行;小资钱包
185,370,,据火币官方文件显示，8月27日，李林亲自签发了关于辞退某部门管理者内部通报，经查，在该部门经手的部分渠道供应商联合欺诈渠道推广费用过程中，上述管理者负有付款审批责任而被辞退，而具体当事人也被辞退,有付;火币,1,火币,1,有付
189,376,????#海淀公安分局[超话]##小资钱包涉嫌诈骗[超话]##恒丰银行与小资钱包1[超话]##恒丰银行与小资钱包1[超话]##小资钱包涉嫌诈骗[超话]#七问经侦，小资钱包出借受害人期待执法透明：  1.冻结小资平台账户多少钱？  2.有没有追查北京正聚源通鼎信用管理有限公司，控制孙正、伟强、张赛相关涉案资产？  3.我们 ?????,????#海淀公安分局[超话]##小资钱包涉嫌诈骗[超话]##恒丰银行与小资钱包1[超话]##恒丰银行与小资钱包1[超话]##小资钱包涉嫌诈骗[超话]#七问经侦，小资钱包出借受害人期待执法透明：  1.冻结小资平台账户多少钱？  2.有没有追查北京正聚源通鼎信用管理有限公司，控制孙正、伟强、张赛相关涉案资产？  3.我们 ?????,小资钱包;恒丰银行;北京正聚源公司,1,小资钱包;北京正聚源公司,1,恒丰银行;北京正聚源公司;小资钱包
217,432,海象理财再不还钱，我就得借高利贷了，这是要把人逼死啊 ?,海象理财再不还钱，我就得借高利贷了，这是要把人逼死啊 ?,象理财;海象理财,1,象理财,1,海象理财
232,461,甜菜金融大规模逾期后被这家上市公司董秘甩锅，存管方众邦银行踩雷, {IMG:1} 宣传称运营3年零逾期的甜菜金融被曝无法兑付。 日前，上证e互动平台有投资者称，甜菜金融出现大规模逾期。对此天风证券回复称，甜菜金融系天丰天财（武汉）金融信息服务有限公司运营平台，天风证券不直接持有该平台股权，公司子公司曾持有该平台部分股权，皆于2017年转让出售。目前天风证券与甜菜金融不存在任何股权关联或人事任免的情况。甜菜金融的业务情况对天风证券无影响。 {IMG:2} 而对于投资者提到的天风证券2017年将甜菜金融股权出售后，2018年仍能通过天风证券营业部购买到推荐的甜菜金融产品一事，天风证券仅回复称甜菜金融的产品仅能通过其自身平台购买。 {IMG:3} 查询贴吧及相关论坛发现，5月起有诸多投资人表示其标的出现了逾期，而甜菜金融方面给投资人的解释为借款人逾期、第三方失联。同时有投资人表示，其被天风证券推荐注册。蓝鲸财经多次致电甜菜金融，客服电话均无人接听。 {IMG:4} 早在去年8月即有投资人表示甜菜金融已两月未发新标。截至目前，甜菜金融官网最新标的仍显示开始时间为2018年6月28日，已近一年未发新标。 甜菜金融官网的运营数据披露至2019年3月。截至3月31日，甜菜金融借贷余额7299.44万，利息余额582.94万，逾期金额及笔数均为0。 {IMG:5} 企查查信息显示，2014年11月，甜菜金融获得天风天睿种子轮融资，金额未知。官网介绍称，天风天睿为天风证券的私募投资基金子公司。随后在多次工商变更中，天风证券参控股的天风天盈投资有限公司、天风天睿投资股份有限公司均曾出现在甜菜金融股东名单中。 17年3月天风天睿退出股东名单，18年7月天风天盈退出股东名单。目前，甜菜金融股东为武汉天盈投资集团有限公司（以下简称武汉天盈）、北京融数数据服务有限责任公司（以下简称北京融数）、辽宁百家创业投资有限公司，持股比例分别为49%、25.5%、25.5%。 值得一提的是，武汉天盈除控股股东武汉当代科技产业集团股份有限公司(以下简称当代集团)外，还出现了天风证券全资子公司天风创新投资有限公司、厦门国际信托有限公司等。 当代集团官网介绍称，其注册资本45亿元，截至2017年12月31日，总帐面资产近800亿元。当代集团参控股若干家上市公司，包括三特索道（SZ.002159 )?、当代明诚（SH.600136)?等。 此外， 甜菜金融的银行存管方也是武汉本地的民营银行众邦银行。 中国互联网金融协会数据显示， 众邦银行对接多达20多家P2P平台的资金存管，包括恒安E贷、太安宝、友投友贷、友贷邦、贷贷通、渝信网、周到金服、钱上钱、钱座网、新富创投、甜菜金融、找银子、跃马财富、汇金易安、迅泊达、财通四海、滴水贷、小行家、玲珑金管家、真心帮、皓添金融、诚投在线、小鸽理财、湖湘财富、银程金服。这些平台大多为待收较小的P2P平台。 甜菜金融第二大股东背景融数同样大有来头，或为春晓资本系公司。 北京融数为融数信息科技集团有限公司（以下称融数集团）全资子公司，春晓资本曾宣称融数集团为其孵化的企业。目前工商信息中，融数集团法人及大股东均为王戎，春晓资本韩越仍为融数集团董事。 2018年5月，石河子春晓股权投资管理有限公司、新疆春晓汇商股权投资合伙企业(有限合伙)两家公司退出融数集团股东名单。同年8月，春晓资本韩越因涉嫌非法吸收公众存款罪被上海警方刑事拘留。春晓资本互金布局也陆续崩塌，5家p2p平台全部爆雷。 同时融数集团与春晓资本参投的君融贷、牛板金等也存在关联，目前两平台均已被立案。 企查查信息显示，牛板金运营主体浙江佐助金融信息服务有限公司，大股东佐助控股有限公司持股85%。而在工商信息的变更记录中，股东曾出现融数集团。警方通报显示，2018年7月5日牛板金涉非吸被立案。而就在立案的前一天，融数集团在工商信息中退出佐助控股股东。 君融贷法人吴隽、董事罗鹏，分别在融数集团参投的北京即思教育科技有限公司、北京好课多信息技术有限公司人董事、法定代表人及股东等职位。2015年，融数集团王戎控股的北京瑞金麟网络技术服务有限公司也曾为君融贷股东。 （责任编辑：朱荻） {IMG:6} ,众邦银行;甜菜金融;天丰天财（武汉）金融信息服务有限公司,1,甜菜金融;天丰天财（武汉）金融信息服务有限公司,1,天丰天财（武汉）金融信息服务有限公司;众邦银行;甜菜金融
241,479,????#恒丰银行与小资钱包1[超话]##案件速递[超话]##案件速递[超话]#我们是海淀区万柳中路派顿大厦四楼的小资钱包公司～资易贷平台诈骗平台的出借人  2、现在描述大致的被诈骗经过:小资钱包自九月份开始，到期就逾期，不回本金，曾经承诺90天后开启逾期兑付，后又用108条和金融办不允许兑付搪塞，11.12，12. ?????,????#恒丰银行与小资钱包1[超话]##案件速递[超话]##案件速递[超话]#我们是海淀区万柳中路派顿大厦四楼的小资钱包公司～资易贷平台诈骗平台的出借人  2、现在描述大致的被诈骗经过:小资钱包自九月份开始，到期就逾期，不回本金，曾经承诺90天后开启逾期兑付，后又用108条和金融办不允许兑付搪塞，11.12，12. ?????,小资钱包;恒丰银行;资易贷,1,小资钱包;资易贷,1,恒丰银行;资易贷;小资钱包
244,485,传闻将裁撤1.2万个岗位的京东又传来新消息，厦门P2P平台“易利贷”发生股权变更，变更后，公司疑似实控人为刘强东。... 和斐讯搞千亿诈骗资金池 这又开始搞p2p诈骗群众血汗钱了 刘强东这种无义之徒隐退幕后依然做着吃人不吐骨头的勾当 可能很多人都不知道 京东和联璧金融的第三方支付平台都是连连支付...全文：  ?,传闻将裁撤1.2万个岗位的京东又传来新消息，厦门P2P平台易利贷发生股权变更，变更后，公司疑似实控人为刘强东。... 和斐讯搞千亿诈骗资金池 这又开始搞p2p诈骗群众血汗钱了 刘强东这种无义之徒隐退幕后依然做着吃人不吐骨头的勾当 可能很多人都不知道 京东和联璧金融的第三方支付平台都是连连支付...全文： http://m.weibo.cn/1662260092/4359615556357720 ?,联璧金融;连连银通支付;易利贷;京东,1,联璧金融;易利贷;京东,1,易利贷;连连银通支付;联璧金融;京东
294,592,,情报|连连支付宣告与paypal分手；联璧科技涉嫌非法吸储被调查；评级市场启动淘汰机制,联璧科技;paypal,1,联璧科技,1,联璧科技;paypal
323,636,#全民保##支付宝##诈骗##保险# 之前听说买什么都别买保险，现在发现支付宝合作的也不例外。 3.17被支付宝全民保的体验金活动忽悠，以为是基金呢，随手投了2200元，毕竟支付宝从来没坑过我。 交完智商税仔细看了看规则，虽然看了好几遍没看懂，但是发现是保险。觉得不对劲，就申请退保。 好不容易找到了...全文：  ?,#全民保##支付宝##诈骗##保险# 之前听说买什么都别买保险，现在发现支付宝合作的也不例外。 3.17被支付宝全民保的体验金活动忽悠，以为是基金呢，随手投了2200元，毕竟支付宝从来没坑过我。 交完智商税仔细看了看规则，虽然看了好几遍没看懂，但是发现是保险。觉得不对劲，就申请退保。 好不容易找到了...全文： http://m.weibo.cn/5095836732/4352358282360582 ?,支付宝;蚂蚁金服;随手投;全民保,1,支付宝;全民保,1,全民保
338,662,#小资钱包[超话]#@人民网   @中国警方在线  @平安北京  资易贷(北京)金融信息服务有限公司，简称小资钱包，自2018年9月以来，出现大量持续逾期，逾期本金金额已超2亿。根据出借人银行流水，出借的大部分资金没有进入恒丰银行存管账户。同时，据恒丰银行客服反馈，小资钱包存管账户为集体账户，没有为个...全文：  ?,#小资钱包[超话]#@人民网   @中国警方在线  @平安北京  资易贷(北京)金融信息服务有限公司，简称小资钱包，自2018年9月以来，出现大量持续逾期，逾期本金金额已超2亿。根据出借人银行流水，出借的大部分资金没有进入恒丰银行存管账户。同时，据恒丰银行客服反馈，小资钱包存管账户为集体账户，没有为个...全文： http://m.weibo.cn/5248087721/4362401052328710 ?,资易贷（北京）金融信息服务有限公司;小资钱包;恒丰银行;资易贷,1,资易贷（北京）金融信息服务有限公司;小资钱包,1,恒丰银行;资易贷（北京）金融信息服务有限公司;小资钱包
360,708,,维权者称，他们是联璧金融的受害者，他们在京东上参与了0元购斐讯产品的活动，由此入口进入到联璧金融这家P2P理财平台，在投入大量资金后，遭遇无法提现,联璧金融;斐讯;京东,1,联璧金融;斐讯,1,斐讯;联璧金融;京东
365,721,肖纲银监会主席身边养着一群诈骗犯，这群诉骗犯就是小资钱包的高管潘博艺，李兆民，自融，设资金池，诈骗出借人的逾期款达到五个亿，吃人不吐骨头的诈骗犯必须绳之以法还我们的救病钱！@财经网 @俄罗斯卫星通讯社 @恒丰银行 @北京12345 @随媛札记 @崔永元 @北京市石景山 @北京晚报 ?,肖纲银监会主席身边养着一群诈骗犯，这群诉骗犯就是小资钱包的高管潘博艺，李兆民，自融，设资金池，诈骗出借人的逾期款达到五个亿，吃人不吐骨头的诈骗犯必须绳之以法还我们的救病钱！@财经网 @俄罗斯卫星通讯社 @恒丰银行 @北京12345 @随媛札记 @崔永元 @北京市石景山 @北京晚报 ?,小资钱包;恒丰银行,1,小资钱包,1,恒丰银行;小资钱包
378,746,????@Wecash闪银 @葫芦岛银行兴城支行 @葫芦岛新闻综合广播 @风水小屋 @葫芦岛银行薛天志 @葫芦岛公安局 @葫芦岛工商局 闪银网贷变相开会员砍头息，利率超过高利贷。背后有葫芦岛银行的支持狼狈为奸 。葫芦岛银行是怎么过工商局@银监会 审核的？,????@Wecash闪银 @葫芦岛银行兴城支行 @葫芦岛新闻综合广播 @风水小屋 @葫芦岛银行薛天志 @葫芦岛公安局 @葫芦岛工商局 闪银网贷变相开会员砍头息，利率超过高利贷。背后有葫芦岛银行的支持狼狈为奸 。葫芦岛银行是怎么过工商局@银监会 审核的？,葫芦岛银行;银网贷;超银网贷;闪银网贷,1,葫芦岛银行;闪银网贷,1,闪银网贷;超银网贷;葫芦岛银行
398,790,北京玖富集团网贷骗子公司套路贷阳阳合同砍头息  骆海军本人在2019年3月被希财猫平台骗贷给我下载玖富平台网贷。在玖富平台还没放款前本人打电话玖富客服要求取消贷款。因为本人在网上评论发现玖富平台网贷套路贷。我说你们放款成功希财猫平台也会收服务费16%，我说你们不要放款就行了。因为当时玖富ap...全文：  ?,北京玖富集团网贷骗子公司套路贷阳阳合同砍头息  骆海军本人在2019年3月被希财猫平台骗贷给我下载玖富平台网贷。在玖富平台还没放款前本人打电话玖富客服要求取消贷款。因为本人在网上评论发现玖富平台网贷套路贷。我说你们放款成功希财猫平台也会收服务费16%，我说你们不要放款就行了。因为当时玖富ap...全文： http://m.weibo.cn/7141574109/4390437990868752 ?,北京玖富集团;希财猫;玖富;贷给我,1,北京玖富集团;希财猫;玖富,1,北京玖富集团;希财猫
414,831,,【头条】非法集资过千亿，钱宝网实控人张小雷涉嫌集资诈骗被移送起诉,头条;钱宝,1,钱宝,1,头条
416,833,????【恒富金融成老赖：30亿兑付难解 旗下P2P已暂停发标】失信被执行人，俗称“老赖”，对于恒富金融集团而言，已经是常客了。日前，恒富金融集团已在2019年5月5日被深圳市福田区人民法院列为失信被执行人。事实上，恒富金融集团以及其大股东、实际控制人王天贵已经多次被列为被执行人与失信被执行人。今年 ?????,????【恒富金融成老赖：30亿兑付难解 旗下P2P已暂停发标】失信被执行人，俗称老赖，对于恒富金融集团而言，已经是常客了。日前，恒富金融集团已在2019年5月5日被深圳市福田区人民法院列为失信被执行人。事实上，恒富金融集团以及其大股东、实际控制人王天贵已经多次被列为被执行人与失信被执行人。今年 ?????,恒富金融集团;恒富金融,1,恒富金融集团,1,恒富金融
430,851,运营10年的元老P2P、广东最大网贷平台红岭创投，3月23日宣布清盘。红岭创投2021年12月底清盘平台线上债权资产，未到期部分债权由红岭控股全额收购。2009年3月正式上线运营至今累计融资总人数130543人，累计出借总人数为486227人，累计出借4519亿，待收184亿（不含净值标），总投资人48万。,运营10年的元老P2P、广东最大网贷平台红岭创投，3月23日宣布清盘。红岭创投2021年12月底清盘平台线上债权资产，未到期部分债权由红岭控股全额收购。2009年3月正式上线运营至今累计融资总人数130543人，累计出借总人数为486227人，累计出借4519亿，待收184亿（不含净值标），总投资人48万。,红岭创投;红岭控股,1,红岭创投,1,红岭创投;红岭控股
